TransactionDate,TransactionType,Quantity
---------------,---------------,--------
2014-08-03 00:00:00.000,P,60
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,60
2014-08-03 00:00:00.000,P,60
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,3
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,550
2014-08-03 00:00:00.000,P,1250
2014-08-03 00:00:00.000,P,1250
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,60
2014-08-02 00:00:00.000,P,60
2014-08-02 00:00:00.000,P,60
2014-08-02 00:00:00.000,P,60
2014-08-02 00:00:00.000,P,60
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,3
2014-08-02 00:00:00.000,P,550
2014-08-02 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,550
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,3
2014-08-01 00:00:00.000,P,550
