ProductID,ProductName,LastTransactionDate,MonthsSinceLastActivity,CurrentStock
---------,-----------,-------------------,-----------------------,------------
849,Men's Sports Shorts, M,2013-07-31 00:00:00.000,141,108
843,Cable Lock,2013-09-30 00:00:00.000,139,252
790,Road-250 Red, 48,2013-12-03 00:00:00.000,136,370
769,Road-650 Black, 48,2013-12-03 00:00:00.000,136,266
770,Road-650 Black, 52,2014-01-03 00:00:00.000,135,908
855,Men's Bib-Shorts, S,2014-02-28 00:00:00.000,134,72
854,Women's Tights, L,2014-03-30 00:00:00.000,133,108
852,Women's Tights, S,2014-04-30 00:00:00.000,132,972
765,Road-650 Black, 58,2014-04-02 00:00:00.000,132,1072
762,Road-650 Red, 44,2014-04-02 00:00:00.000,132,959
763,Road-650 Red, 48,2014-04-02 00:00:00.000,132,892
760,Road-650 Red, 60,2014-04-02 00:00:00.000,132,1110
761,Road-650 Red, 62,2014-04-02 00:00:00.000,132,888
856,Men's Bib-Shorts, M,2014-04-30 00:00:00.000,132,324
863,Full-Finger Gloves, L,2014-04-30 00:00:00.000,132,432
862,Full-Finger Gloves, M,2014-04-30 00:00:00.000,132,432
861,Full-Finger Gloves, S,2014-04-30 00:00:00.000,132,288
943,LL Mountain Frame - Black, 40,2014-05-18 00:00:00.000,131,37388
944,LL Mountain Frame - Silver, 40,2014-05-31 00:00:00.000,131,126170
822,ML Road Frame-W - Yellow, 38,2014-05-31 00:00:00.000,131,225268
809,ML Mountain Handlebars,2014-05-04 00:00:00.000,131,178500
799,Road-550-W Yellow, 42,2014-05-31 00:00:00.000,131,114181
795,Road-250 Black, 52,2014-05-30 00:00:00.000,131,67492
796,Road-250 Black, 58,2014-05-31 00:00:00.000,131,43660
976,Road-350-W Yellow, 48,2014-05-30 00:00:00.000,131,148004
797,Road-550-W Yellow, 38,2014-05-31 00:00:00.000,131,75332
986,Mountain-500 Silver, 44,2014-05-30 00:00:00.000,131,31518
983,Mountain-400-W Silver, 46,2014-05-29 00:00:00.000,131,51988
989,Mountain-500 Black, 40,2014-05-18 00:00:00.000,131,27000
990,Mountain-500 Black, 42,2014-05-30 00:00:00.000,131,32589
991,Mountain-500 Black, 44,2014-05-30 00:00:00.000,131,31878
992,Mountain-500 Black, 48,2014-05-31 00:00:00.000,131,41820
993,Mountain-500 Black, 52,2014-05-29 00:00:00.000,131,26316
984,Mountain-500 Silver, 40,2014-05-31 00:00:00.000,131,34496
981,Mountain-400-W Silver, 40,2014-05-29 00:00:00.000,131,54774
988,Mountain-500 Silver, 52,2014-05-30 00:00:00.000,131,48694
963,Touring-3000 Yellow, 54,2014-05-14 00:00:00.000,131,41310
965,Touring-3000 Yellow, 62,2014-05-31 00:00:00.000,131,53953
957,Touring-1000 Yellow, 60,2014-05-28 00:00:00.000,131,75047
979,Touring-3000 Blue, 50,2014-05-28 00:00:00.000,131,50348
958,Touring-3000 Blue, 54,2014-05-22 00:00:00.000,131,48248
960,Touring-3000 Blue, 62,2014-05-28 00:00:00.000,131,33708
966,Touring-1000 Blue, 46,2014-05-28 00:00:00.000,131,96570
955,Touring-1000 Yellow, 50,2014-05-28 00:00:00.000,131,59458
956,Touring-1000 Yellow, 54,2014-06-01 00:00:00.000,130,27750
967,Touring-1000 Blue, 50,2014-06-02 00:00:00.000,130,64084
968,Touring-1000 Blue, 54,2014-06-01 00:00:00.000,130,47215
969,Touring-1000 Blue, 60,2014-06-01 00:00:00.000,130,66048
954,Touring-1000 Yellow, 46,2014-06-02 00:00:00.000,130,76664
534,Top Tube,2014-06-02 00:00:00.000,130,201699
330,Touring End Caps,2014-06-02 00:00:00.000,130,482297
821,Touring Front Wheel,2014-06-02 00:00:00.000,130,225952
829,Touring Rear Wheel,2014-06-02 00:00:00.000,130,227487
532,Seat Stays,2014-06-02 00:00:00.000,130,385899
533,Seat Tube,2014-06-02 00:00:00.000,130,255117
883,Short-Sleeve Classic Jersey, L,2014-06-28 00:00:00.000,130,24444
882,Short-Sleeve Classic Jersey, M,2014-06-29 00:00:00.000,130,0
881,Short-Sleeve Classic Jersey, S,2014-06-30 00:00:00.000,130,197316
884,Short-Sleeve Classic Jersey, XL,2014-06-30 00:00:00.000,130,56232
708,Sport-100 Helmet, Black,2014-06-30 00:00:00.000,130,710208
711,Sport-100 Helmet, Blue,2014-06-30 00:00:00.000,130,479520
707,Sport-100 Helmet, Red,2014-06-30 00:00:00.000,130,656064
531,Steerer,2014-06-02 00:00:00.000,130,245907
529,Stem,2014-06-02 00:00:00.000,130,244372
961,Touring-3000 Yellow, 44,2014-06-02 00:00:00.000,130,55608
962,Touring-3000 Yellow, 50,2014-06-01 00:00:00.000,130,53244
959,Touring-3000 Blue, 58,2014-06-01 00:00:00.000,130,54876
970,Touring-2000 Blue, 46,2014-06-01 00:00:00.000,130,43757
971,Touring-2000 Blue, 50,2014-06-01 00:00:00.000,130,60155
972,Touring-2000 Blue, 54,2014-06-02 00:00:00.000,130,52374
953,Touring-2000 Blue, 60,2014-06-02 00:00:00.000,130,62205
978,Touring-3000 Blue, 44,2014-06-02 00:00:00.000,130,30644
870,Water Bottle - 30 oz.,2014-06-30 00:00:00.000,130,1055124
869,Women's Mountain Shorts, L,2014-06-30 00:00:00.000,130,178560
868,Women's Mountain Shorts, M,2014-06-28 00:00:00.000,130,152208
867,Women's Mountain Shorts, S,2014-06-30 00:00:00.000,130,122256
964,Touring-3000 Yellow, 58,2014-06-01 00:00:00.000,130,34475
982,Mountain-400-W Silver, 42,2014-06-01 00:00:00.000,130,49280
871,Mountain Bottle Cage,2014-06-30 00:00:00.000,130,527616
328,Mountain End Caps,2014-06-02 00:00:00.000,130,500103
985,Mountain-500 Silver, 42,2014-06-01 00:00:00.000,130,38048
987,Mountain-500 Silver, 48,2014-06-01 00:00:00.000,130,37200
873,Patch Kit/8 Patches,2014-06-30 00:00:00.000,130,540540
875,Racing Socks, L,2014-06-29 00:00:00.000,130,148032
874,Racing Socks, M,2014-06-30 00:00:00.000,130,127512
894,Rear Derailleur,2014-06-02 00:00:00.000,130,367598
792,Road-250 Red, 58,2014-06-01 00:00:00.000,130,66965
973,Road-350-W Yellow, 40,2014-06-01 00:00:00.000,130,122470
974,Road-350-W Yellow, 42,2014-06-01 00:00:00.000,130,82288
975,Road-350-W Yellow, 44,2014-06-01 00:00:00.000,130,58254
872,Road Bottle Cage,2014-06-27 00:00:00.000,130,496692
329,Road End Caps,2014-06-02 00:00:00.000,130,491507
793,Road-250 Black, 44,2014-06-01 00:00:00.000,130,51590
794,Road-250 Black, 48,2014-06-02 00:00:00.000,130,65835
798,Road-550-W Yellow, 40,2014-06-02 00:00:00.000,130,64638
800,Road-550-W Yellow, 44,2014-06-01 00:00:00.000,130,53922
801,Road-550-W Yellow, 48,2014-06-01 00:00:00.000,130,69546
997,Road-750 Black, 44,2014-06-02 00:00:00.000,130,94860
998,Road-750 Black, 48,2014-06-02 00:00:00.000,130,121830
999,Road-750 Black, 52,2014-06-02 00:00:00.000,130,156364
977,Road-750 Black, 58,2014-06-02 00:00:00.000,130,100368
827,ML Road Rear Wheel,2014-06-02 00:00:00.000,130,256959
819,ML Road Front Wheel,2014-06-02 00:00:00.000,130,243451
812,ML Road Handlebars,2014-06-02 00:00:00.000,130,252354
518,ML Road Seat Assembly,2014-06-02 00:00:00.000,130,250512
521,ML Touring Seat Assembly,2014-06-02 00:00:00.000,130,166200
782,Mountain-200 Black, 38,2014-06-02 00:00:00.000,130,160176
783,Mountain-200 Black, 42,2014-06-02 00:00:00.000,130,119584
784,Mountain-200 Black, 46,2014-06-01 00:00:00.000,130,102202
779,Mountain-200 Silver, 38,2014-06-02 00:00:00.000,130,105627
780,Mountain-200 Silver, 42,2014-06-02 00:00:00.000,130,164797
781,Mountain-200 Silver, 46,2014-06-02 00:00:00.000,130,105140
980,Mountain-400-W Silver, 38,2014-06-01 00:00:00.000,130,52350
995,ML Bottom Bracket,2014-06-02 00:00:00.000,130,250512
950,ML Crankset,2014-06-02 00:00:00.000,130,291410
803,ML Fork,2014-06-02 00:00:00.000,130,270774
806,ML Headset,2014-06-02 00:00:00.000,130,237004
942,ML Mountain Frame-W - Silver, 38,2014-06-01 00:00:00.000,130,99120
816,ML Mountain Front Wheel,2014-06-02 00:00:00.000,130,251126
824,ML Mountain Rear Wheel,2014-06-02 00:00:00.000,130,250908
715,Long-Sleeve Logo Jersey, L,2014-06-30 00:00:00.000,130,169344
714,Long-Sleeve Logo Jersey, M,2014-06-30 00:00:00.000,130,116100
713,Long-Sleeve Logo Jersey, S,2014-06-30 00:00:00.000,130,56736
716,Long-Sleeve Logo Jersey, XL,2014-06-30 00:00:00.000,130,132300
823,LL Mountain Rear Wheel,2014-06-01 00:00:00.000,130,194085
818,LL Road Front Wheel,2014-06-02 00:00:00.000,130,267288
811,LL Road Handlebars,2014-06-02 00:00:00.000,130,265920
517,LL Road Seat Assembly,2014-06-02 00:00:00.000,130,244412
