BusinessEntityID,VendorName
----------------,----------
1596,A. Datum Corporation
1496,Advanced Bicycles
1494,Allenson Cycles
1650,American Bicycles and Wheels
1654,American Bikes
1664,Anderson's Custom Bikes
1616,Aurora Bike Center
1492,Australia Bike Retailer
1602,Beaumont Bikes
1540,Bergeron Off-Roads
1628,Bicycle Specialists
1604,Bike Satellite Inc.
1690,Bloomington Multisport
1566,Burnett Road Warriors
1698,Business Equipment Center
1560,Capital Road Cycles
1692,Carlson Specialties
1696,Chicago City Saddles
1504,Chicago Rent-All
1544,Circuit Cycles
1530,Comfort Road Bicycles
1508,Compete Enterprises, Inc
1694,Compete, Inc.
1624,Competition Bike Training Systems
1548,Consumer Cycles
1598,Continental Pro Cycles
1658,Crowley Sport
1536,Cruger Bike Company
1568,Custom Frames, Inc.
1502,Cycling Master
1642,Electronic Bike Co.
1646,Electronic Bike Repair & Supplies
1672,Expert Bike Co
1600,Federal Sport
1522,First National Sport Co.
1570,First Rate Bicycles
1594,Fitness Association
1520,G & K Bicycle Corp.
1516,Gardner Touring Cycles
1634,GMA Ski & Bike
1546,Green Lake Bike Company
1506,Greenwood Athletic Company
1626,Hill Bicycle Center
1542,Hill's Bicycle Service
1670,Holiday Skate & Cycle
1610,Hybrid Bicycle Center
1564,Illinois Trek & Clothing
1528,Image Makers Bike Center
1630,Indiana Bicycle Center
1638,Inline Accessories
1582,Inner City Bikes
1636,Integrated Sport Products
1510,International
1526,International Bicycles
1644,International Sport Assoc.
1518,International Trek Center
1680,Jackson Authority
1574,Jeff's Sporting Goods
1532,Knopfler Cycles
1620,Lakewood Bicycle
1666,Leaf River Terrain
1640,Legend Cycles
1512,Light Speed
1592,Lindell
1580,Litware, Inc.
1660,Magic Cycles
1558,Marsh
1550,Merit Bikes
1618,Metro Sport Equipment
1612,Midwest Sport, Inc.
1586,Mitchell Sports
1500,Morgan Bike Accessories
1656,Mountain Works
1572,National Bike Association
1562,Norstan Bike Hut
1662,Northern Bike Travel
1606,Northwind Traders
1682,Premier Sport, Inc.
1686,Pro Sport Industries
1684,Professional Athletic Consultants
1678,Proseware, Inc.
1534,Ready Rentals
1524,Recreation Place
1614,Reliance Fitness, Inc.
1588,Signature Cycles
1622,Speed Corporation
1632,Sport Fan Co.
1608,Sport Playground
1552,Sports House
1576,Superior Bicycles
1590,SUPERSALES INC.
1676,Team Athletic Co.
1668,Touring Equipment Center
1514,Training Systems
1584,Trey Research
1498,Trikes, Inc.
1674,Varsity Sport Co.
1652,Victory Bikes
1578,Vision Cycles, Inc.
1538,Vista Road Bikes
1556,West Junction Cycles
1554,WestAmerica Bicycle Co.
1648,Wide World Importers
1688,Wood Fitness

(104 rows affected)
